name,score
3.2 Office,0.7409494432828388
72nd Community,0.21509157362776465
Aamadu,0.895928476333856
Abironda Mountain,0.7209965023923547
Abo Creek,0.8299682176312773
Aden,0.14521846536198635
Aetna Passage,0.5830456170657008
Afla Creek,0.5265306832164117
African Jordan,0.5883408873046975
Agikolazizu,0.13364234270018804
Agi Mission,0.890858217151249
Airfield,0.9238793366098618
Airfield,0.6403752525601202
Ajoice,0.3172985222159931
Alabama Camp,0.2896323713109469
Alagashi Creek,0.9544165343012462
Alasala,0.38540934262905013
Albert’s Town,0.6997381287692022
Alejazu,0.08475513285520941
Alert Rock,0.28313834077892663
Alfabli,0.145060754553631
Alfred Flomota,0.9088600111431011
Alfredta,0.5089540569782921
Aljennah,0.6042845377387698
Allawala City,0.296159871640695
Allen Rocks,0.46077469405151683
Amadu,0.6307378998071205
Amilcar Cabral Housing Estate,0.7505533853121076
Amina,0.7745903189193306
Amina Number Two,0.8344074548845863
Anchuan,0.4718614695781034
Andersons Farm,0.6815477788958648
Andrewbli,0.8360974859327268
Andrews Town,0.22237834648377752
Angalazu,0.7578877563680647
Ansiah,0.9974193563289748
Antoinette Tubman Foundation,0.3357914874693997
Antoinette Tubman Stadium,0.4121986156542117
Anza Creek,0.33566575092420026
Anza Creek,0.7543428923706174
Apgaye Doabli,0.8198721918340146
Apo,0.17075430097510869
Armah Konah,0.9948959805640526
Arnaken,0.7951253487408274
Arthington,0.3470735440726782
Arthington,0.5862204439729982
Arthington,0.5505427669150053
Arthur Tubman Military Academy,0.988024800502268
Aruan Point,0.6673460835554719
Asabli,0.09049008525659286
Assembly of God Mission,0.7750396937258831
Athol Rock,0.775170516654428
Atoka Village,0.41197184184380853
Audrichbli,0.8964880540788974
Auzitabli,0.6723664301480201
Ayema,0.9508626270438891
Ba,0.05896925358334304
Ba,0.5582459989383615
Baa,0.13393850107250416
Baa,0.2815210017342409
Baabli,0.6807041229909041
Baaguata,0.8390926124047203
Baaja,0.9167000056762049
Baaja,0.336324981136922
Baaja,0.5609246787184987
Baaka,0.2526550899293365
Baaka Town,0.5218161787083754
Baama,0.29727354045684595
Baapie,0.8691166413546749
Baata,0.5029725280075475
Baata,0.8735595994400416
Baata,0.5239822563481084
Baatown,0.21577114158482735
Baawu,0.14539224770974524
Bababli,0.9062785203442019
Baba Creek,0.8547598521296861
Babala,0.7068054532770268
Babe,0.795251027151699
Babli,0.2547342220477121
Babli,0.9748041633723962
Babli,0.9869453030177682
Babli,0.8112422350754598
Babli,0.6717681330237093
Babli,0.16694401282139293
Babli,0.5210637678342618
Babli,0.7387398930002422
Babli,0.49575048238213193
Babo Creek,0.9716250487580567
Babokehn,0.02045931165280046
Babota,0.4021293484346058
Babuabli,0.3399749714731737
Babu Town,0.1785687155384056
Ba Creek,0.5190214687513809
Ba Creek,0.5193107294155554
Ba Creek,0.8183847533097366
Badanoma,0.4735531008232493
Badawin,0.250846123754332
Bade,0.8848277643020018
Bade Station,0.7768164108932453
Badeya,0.4339657554065768
Badia,0.9785056320689813
Badio Town,0.19401478597368682
Badoa Creek,0.8807566930668241
Badow,0.3739002473827697
Baduna,0.5668925564671831
Baema Number One,0.018504720328415103
Baema Number Two,0.44731385652225986
Bafa Creek,0.014536992281898642
Bafu Bay,0.27686192496139894
Bafu Bay Town,0.07044716298233555
Bafu Point,0.4843938430271716
Bafu River,0.5590806841539321
Bafu Rock,0.09254603881846679
Bagaya,0.8329629420373071
Bagger Farm,0.5506030967214837
Bagle,0.808119000542042
Baglor Town,0.8581100724334094
Bagoli,0.7835873821330733
Bagwabli,0.10167357655264508
Bagwaima,0.722194467978385
Baha,0.5345821993866927
Bahai,0.651852447205486
Bahn,0.45202985516034166
Bahn,0.6851582710145125
Bahnta,0.005843634852131019
Bahn Town,0.7090981056625277
Bahr,0.5661804847511607
Baiama,0.8997112062149398
Baibli,0.3856619153502092
Baibli,0.9797817262202747
Baibli,0.9846441419011946
Baiduabli,0.4322725029504493
Baikai,0.2562060152679029
Baiketeh Creek,0.8123084649721282
Baikole,0.5454084420588832
Baila,0.6613509750108242
Baila,0.13949892208554326
Bailakpo,0.8677910458477869
Baima,0.7006661666684757
Bain,0.16998535299840367
Bainda,0.2934554957979041
Bainda Hill,0.4045746695457628
Baisu,0.0549684164687928
Baiyah Island,0.5895972318195952
Baja,0.523558526305095
Bajabli,0.14814170760966594
Baja Creek,0.3976324195703763
Bajakehn,0.657275132421305
Ba Jimmy Town,0.23884596112722212
Baka,0.667370386953794
Bakabli,0.689733362032287
Bakamba,0.45510571425799995
Bakanda,0.2573347872245977
Bakdia,0.6627165281799285
Bake,0.15501316855746838
Bake,0.022623263441402086
Bakendu,0.6131799616254413
